Band	Timecode	Sprecher	Transkript	Übersetzung	Hauptüberschrift	Zwischenüberschrift	Hauptüberschrift (Übersetzung)	Zwischenüberschrift (Übersetzung)	Registerverknüpfungen	Anmerkungen	Anmerkungen (Übersetzung)
3	00:26:22.15	IP_JA	Ja.								
3	00:26:25.12	IP_JA	Und dann kamst du zum Arbeitsdienst, und da war auch noch nichts.								
3	00:26:26.00	IP_EHEMANN	Weißt du, was (???)								
3	00:26:28.13	IP_EHEMANN	Jetzt müssen wir 'was erzählen.								
3	00:26:30.04	IP_EHEMANN	Das fängt – erzählt von ihrer – ihrem Religionsunterricht.								
3	00:26:34.14	INT_AKE	Ja								
3	00:26:35.15	IP_EHEMANN	Und da war 's dann üblich – da war, glaub' ich, so einmal im Monat war so 'n Gemeinschaftskommunion – da mussten sie alle dran teilnehmen.								
3	00:26:40.16	INT_AKE	Hm								
3	00:26:43.21	IP_EHEMANN	Und, äh, wir hatten uns schon 'mal beim Spazieren (???):								
3	00:26:48.10	IP_EHEMANN	„Was machen wir denn heute?“								
3	00:26:50.04	IP_EHEMANN	„Ja, heute können wir nicht viel unternehmen,“ sagt sie, [lacht] „ich war heute Morgen zur Kommunion.“								
3	00:26:55.15	IP_EHEMANN	Ja, dann sind wir dann spazieren gegangen.								
3	00:26:56.24	IP_EHEMANN	(???)								
3	00:26:57.03	IP_JA	[amüsiert] (???), ja ja, herrlich								
3	00:26:58.03	IP_EHEMANN	Da sind wir 'mal ins Kino gegangen, Taschengeld kriegt' ich eine Mark, ne, und dann, äh, im Kino (???) [lacht]								
3	00:26:59.12	IP_JA	Das war 'ne Beeinflussung (???)								
3	00:27:01.03	INT_AKE	Ah.								
3	00:27:03.10	INT_AKE	Hm								
3	00:27:06.18	IP_JA	Ja, da haben sie mich 'mal eingeladen, Jungen, sechs Stück waren es bestimmt.								
3	00:27:09.23	INT_AKE	Ah								
3	00:27:11.23	IP_JA	Da spielten sie „Musik ist Trumpf“ mit der Ilse Werner.								
3	00:27:15.18	IP_JA	Kann ich nie vergessen.								
3	00:27:17.15	IP_JA	Und wie wir jetzt an der Kasse stehen, da guckt der eine den anderen an: [lacht]								
3	00:27:22.01	IP_JA	„Ja, ich bin doch da“, ne, (???)								
3	00:27:23.17	INT_AKE	Hm								
3	00:27:24.13	IP_JA	Die haben mich eingeladen und die hatten gar kein Geld.								
3	00:27:25.17	IP_EHEMANN	[lacht]								
3	00:27:26.00	INT_AKE	Ach so, (???) [lacht]								
3	00:27:28.16	IP_JA	Ist gut, ich glaub', 50 Pfennig kostete das, aber vorne in der ersten Reihe.								
3	00:27:29.10	INT_AKE	Hm.								
3	00:27:32.11	INT_AKE	Hm.								
3	00:27:33.03	INT_AKE	Hat man wenigstens Beinfreiheit [lacht][einmaliges Händeklatschen]								
3	00:27:35.18	IP_JA	Also das stellen Sie sich 'mal vor, das war dann aber auch die gan...								
3	00:27:35.20	IP_EHEMANN	(???)								
3	00:27:36.13	INT_AKE	Hm								
3	00:27:38.19	IP_JA	Dann warst du ja blank.								
3	00:27:40.00	IP_JA	Wenn ich 50 Pfennig hatte, die hatt' ich niemals auf normale Art.								
3	00:27:40.02	INT_AKE	Hm								
3	00:27:43.14	IP_JA	Da hab' ich irgendwas für getan, von meinen Eltern konnt' ich die doch nicht kriegen.								
3	00:27:47.06	INT_AKE	Hm								
3	00:27:47.20	IP_JA	Hab' ich oben im Haus der Frau Klo geputzt, und das war enorme Arbeit.								
3	00:27:53.00	IP_JA	Holz, alles Holzstufen, und dann ging doch noch 'ne Stiege rauf zum Boden, und wenn du dann fertig warst, Klo war unten, eine Treppe runter, überall große Fenster, und dann poliert an den Korridortüren.								
3	00:28:07.15	INT_AKE	Hm								
3	00:28:08.22	IP_JA	Och, das war 'ne Maloche.								
3	00:28:10.06	IP_EHEMANN	Das Fenster im Winter nicht zu gemacht, das Klo eingefroren [lacht]								
3	00:28:11.20	IP_JA	Und dann noch die 50 Pfennig gekriegt, da warst du König.								
3	00:28:12.24	INT_AKE	Ja.								
3	00:28:14.16	INT_AKE	Da warst du (glücklich ?), ja ja								
3	00:28:15.21	IP_JA	Ach, und da hab' ich noch eine, äh, schöne Sache:								
3	00:28:19.22	IP_JA	Mit 15 begannen ja die Tanzstunden.								
3	00:28:23.09	INT_AKE	Hm								
3	00:28:24.09	IP_JA	Und meine Freundinnen, das war doch bei denen Usus, ne, die (???) Tanzschule.								
3	00:28:27.01	INT_AKE	War (üblich ?), ja								
3	00:28:30.00	IP_JA	Ich war dabei, Klo zu putzen für uns, auf einmal kommt da so 'n gesetzter Herr rauf.								
3	00:28:38.03	IP_JA	Dann sagte er:								
3	00:28:38.14	IP_JA	„Ist das noch hoch zu Lascavi?“								
3	00:28:41.08	IP_JA	Ich so:								
3	00:28:41.14	IP_JA	„Nö, gleich hier.“								
3	00:28:44.02	IP_JA	„Ist der Herr Lascavi wohl da?“								
3	00:28:46.14	IP_JA	Und auf einmal dämmert mir 'was.								
3	00:28:49.08	IP_JA	Da war das der Tanzlehrer Fischbach aus, wo unsere Mädchen grade hingingen.								
3	00:28:52.19	IP_EHEMANN	(???)								
3	00:28:56.16	IP_JA	Mein Papa war zufällig an dem Samstag da, muss er ja.								
3	00:29:01.08	IP_JA	Jedenfalls kam der Herr Fischbach wieder runter, sagt er, wann die Tanzstunde ist und ich wäre herzlich eingeladen.								
3	00:29:12.04	IP_JA	Mann, ich hab' gedacht:								
3	00:29:13.01	IP_JA	„Was ist denn los?"								
3	00:29:14.06	IP_JA	Jetzt komm' ich nach oben.								
3	00:29:16.00	IP_JA	„Ja,“ sagt er, „es sind mehr Jungen angemeldet als Mädchen.“								
3	00:29:19.05	INT_AKE	Als Mädchen								
3	00:29:21.02	IP_JA	Und er braucht nichts zu bezahlen.								
3	00:29:22.18	INT_AKE	Hm.								
3	00:29:24.00	INT_AKE	(???)								
3	00:29:24.02	IP_JA	„Aber“, hat mein Vater gesagt, „du gehst alleine hin und du, du kommst alleine wieder zurück.“								
3	00:29:30.05	INT_AKE	Hm								
3	00:29:32.16	IP_JA	Und jetzt waren wir doch schon länger drin, (Mittel- ?)Kränzchen war schon vorbei, und der Gün...								
3	00:29:37.09	IP_JA	Wie hieß er noch?								
3	00:29:38.24	IP_JA	Güse...?								
3	00:29:39.09	IP_JA	Gü...?								
3	00:29:41.11	IP_JA	So 'n ganz Stiller.								
3	00:29:42.18	IP_EHEMANN	Ja ja								
3	00:29:43.00	IP_JA	Der wohnte bei dir da, bisschen weiter.								
3	00:29:43.12	IP_EHEMANN	Der kommt von der, von der Ruhrstraße, ja ja.								
3	00:29:45.18	IP_EHEMANN	Die Pfeilers.								
3	00:29:45.22	IP_JA	Pfeilers, die wohnten ja alle zusammen früher.								
3	00:29:47.24	IP_JA	Komischerweise, man kannte alle.								
3	00:29:49.20	IP_JA	War kaum einer, den, den man nicht kannte.								
3	00:29:52.20	IP_JA	Und der drehte sich auch immerzu um und dann sagt er:								
3	00:29:56.06	IP_JA	„Kann ich dich nicht heute 'mal nach Hause bringen?“								
3	00:29:59.14	IP_JA	War ja sechs Uhr, war ja hell.								
3	00:30:00.23	INT_AKE	Hm.								
3	00:30:02.02	INT_AKE	Aber durfte er ja nicht wegen dem Vater [lacht]								
3	00:30:03.13	IP_JA	Dann Ri...								
3	00:30:04.00	IP_JA	Ja, jetzt kommt es ja:								
3	00:30:05.08	IP_JA	Ringstraße, Kirchstraße, an den Friedhöfen vorbei und ich guck' – ach, mir wird ganz schlecht, da kommt mein Papa genau entgegengesetzt die Kirchstraße rauf, sieht mich, dreht um.								
3	00:30:16.07	INT_AKE	Hm								
3	00:30:21.08	IP_EHEMANN	[lacht]								
3	00:30:21.20	IP_JA	Und dann hat er ja nachher bereut.								
3	00:30:23.23	IP_JA	Da hat er mir eine gescheuert, ne, also weil ich sein Gebot übertreten hab'.								
3	00:30:29.00	INT_AKE	Hm								
3	00:30:29.03	IP_JA	Der hat mich nicht gesch...								
3	00:30:30.00	IP_JA	Äh, also er hätte mich vielleicht nicht gehauen, wenn ich ihm das gesagt hätte, dass das 'mal vorkommt, ne, dass ich ...								
3	00:30:37.23	INT_AKE	Hm								
3	00:30:38.18	IP_JA	Aber weil er der Meinung war, es ist nicht, ich übertrete sein Gebot nicht, [leise] hat er mir eine gescheuert.								
3	00:30:41.03	INT_AKE	Hm.								
3	00:30:43.02	INT_AKE	Hm.								
3	00:30:44.24	INT_AKE	(???) gerechte oder ungerechte Strafe.								
3	00:30:47.16	IP_JA	Ja								
3	00:30:48.16	INT_AKE	Hatte Ihr Vater denn so zuhause das Sagen?								
3	00:30:50.22	IP_EHEMANN	Au ja, au ja, au ja.								
3	00:30:51.20	IP_JA	Bis, bis …								
3	00:30:52.17	IP_JA	Ja, das sehen Sie doch schon an seinen Augen.								
3	00:30:55.14	IP_JA	Bis zum Schluss, mein Vater ist 80 Jahre alt geworden.								
3	00:30:58.04	INT_AKE	Hm								
3	00:30:59.00	IP_JA	1970 gestorben.								
3	00:31:00.04	IP_EHEMANN	Wissen Sie, wo unsere, unsere Hochzeit bestand?								
3	00:31:03.00	IP_EHEMANN	Ich hab' meine Frau, als wir getraut wurden, abends um 10 Uhr zuhause abgeliefert und ich bin nach Hause gegangen [lachend] zu meinen Eltern.								
3	00:31:06.23	INT_AKE	Nach Hause gebracht								
3	00:31:07.22	IP_JA	Ja, wir hatten ja noch keine Wohnung.								
3	00:31:10.13	INT_AKE	Hm								
3	00:31:11.03	IP_JA	Selbst am Trautag, standesamtliche Trauung.								
3	00:31:13.00	INT_AKE	Hm								
3	00:31:15.24	IP_EHEMANN	Ja.								
3	00:31:16.09	IP_JA	Da waren wir mit den Freunden, äh, sein Freund ist ja auch gekommen, waren ja alle beim Militär, ne.								
3	00:31:16.18	INT_AKE	(???)								
3	00:31:21.18	INT_AKE	Hm								
3	00:31:22.14	IP_JA	Dann mussten die ja auch weg, aber das war ...								
3	00:31:25.02	IP_JA	Also gab 's überhaupt nicht.								
3	00:31:26.16	IP_JA	Auch nachher, als ich bei meinen Eltern wohnte, und mein Mann kam ...								
3	00:31:29.09	IP_EHEMANN	(???)								
3	00:31:30.24	INT_AKE	War nichts?								
3	00:31:31.12	IP_JA	Überhaupt ...								
3	00:31:32.00	IP_JA	Also ich hätte überhaupt nichts ...								
3	00:31:33.23	IP_JA	Die einzige groß... große Sache auch mit meinem Vater, mit meinen Eltern ist ja, dass sie meine Tochter so akzeptiert haben, ne, vom ersten Moment an, eben weil das ja klar von mir belegt wurde, ne.								
3	00:31:42.20	INT_AKE	Hm.								
3	00:31:46.20	INT_AKE	(???), hm								
3	00:31:50.00	IP_JA	Und ...								
3	00:31:51.01	INT_AKE	Und Ihre Mutter hatte da überhaupt nichts zu sagen bei, bei Ihnen zu Hause oder wie?								
3	00:31:54.24	IP_JA	Das kann man nicht sagen, auf ihre Art schon.								
3	00:31:57.14	IP_JA	Aber wie ich schon ganz zum Anfang sagte, meine Mutter kam ja auch aus ganz, ganz, wie man so schön sagt, primitiven Verhältnissen, noch primitiver, als man sich das überhaupt vorstellen kann.								
3	00:32:05.12	INT_AKE	Hm								
3	00:32:08.20	IP_JA	Mein Großvater war in Westpreußen bei der Bahn beschäftigt.								
3	00:32:15.03	INT_AKE	Hm								
3	00:32:16.10	IP_JA	Hatte schon etliche Reihe von Kindern, sechs Stück, meine Mutter war die Jüngste.								
3	00:32:20.10	IP_JA	Nee, da kam noch der Jupp hinterher.								
3	00:32:22.13	IP_JA	Aber als meine Mutter 'n halbes Jahr alt war, da war ihre Mutter mit den ganzen Kinderchen und hatte nichts zum Leben.								
3	00:32:30.20	INT_AKE	Hm								
3	00:32:31.02	IP_JA	Der Großvater ist abgehauen hierhin, hat sich Arbeit gesucht und hat den lieben Gott 'n guten Tag sein lassen.								
3	00:32:35.24	INT_AKE	Hm.								
3	00:32:36.22	IP_JA	Und meine Großmutter Rosalie – ihre Kinder, Blagen alle um sich – in Zug gesetzt.								
3	00:32:41.22	IP_JA	Wer weiß, wie sie das Geld zusammen gekriegt hat, sie war ja 'mal beim Pfarrer war sie Haushälterin, vielleicht hat der ausgeholfen.								
3	00:32:48.18	IP_JA	Jedenfalls erzählt Mutter immer, war 'n halbes Jahr alt, dann die Mitreisenden …								
3	00:32:50.19	INT_AKE	(???) wieder ein (???) [amüsiert]								
3	00:32:56.08	IP_JA	Och, ja, da hat die Oma doch erzählt, sie konnte – sprach doch polnisch und das war überhaupt 'ne Wahlpolin.								
3	00:33:01.22	IP_JA	Meine Großmutter wär' lieber Polin gewesen, so richtig echt, die war auch im Polenverein, ne, trug sechs, sieben Röcke, also richtig wie 'ne Polin.								
3	00:33:05.00	INT_AKE	Hm.								
3	00:33:08.19	INT_AKE	Hm								
3	00:33:09.08	IP_EHEMANN	Die war gar keine [lacht]								
3	00:33:10.13	INT_AKE	Also die war aber keine?								
3	00:33:11.04	IP_JA	Ja, aber Grenze, ne.								
3	00:33:12.10	INT_AKE	Ja, hm								
3	00:33:12.12	IP_JA	(???) Westpreußen oben genau wie mein Vater und Mutter.								
3	00:33:14.20	INT_AKE	Hm								
3	00:33:15.09	IP_JA	Die sprachen Polnisch, wenn wir 'was nicht wissen sollten, ne, sprachen sie polnisch, das war bestimmt.								
3	00:33:18.13	INT_AKE	Ach so.								
3	00:33:19.12	INT_AKE	Hm								
3	00:33:20.16	IP_JA	Heute ärger' ich mich, dass ich mich nicht damit befasst hab', ne, mit dem Polnischen und mit dem Russischen.								
3	00:33:23.08	INT_AKE	Hm								
3	00:33:26.13	IP_JA	Und dann kamen die hier an, ja, und mein Großvater hat hier high life gemacht, kann man so schön sagen, ne.								
3	00:33:32.00	INT_AKE	Hm								
3	00:33:32.20	IP_JA	Und das war ...								
3	00:33:33.17	IP_JA	Kam sie auf einmal mit sechs Kinderchen, das Jüngste wurde dann hier geboren.								
3	00:33:38.11	INT_AKE	Aber der hat auf der Zeche dann hier gearbeitet oder wie?								
3	00:33:40.18	IP_JA	Nee nee, also was mein Großvater hier richtig gemacht hat, weiß ich nicht.								
3	00:33:44.10	IP_JA	Ich weiß nur von seiner ältesten Zeit.								
3	00:33:44.11	IP_EHEMANN	Ich w... wusste nicht mehr, was (???)								
3	00:33:46.13	INT_AKE	Organisiert.								
3	00:33:47.22	INT_AKE	Hm								
3	00:33:48.24	IP_JA	Der ist mit 88 gestorben und war noch bei der Wach- und Schließgesellschaft.								
3	00:33:53.14	IP_JA	In Uniform.								
3	00:33:55.00	IP_EHEMANN	[flüstert] (???)								
3	00:33:55.05	IP_JA	Und kam hinten vom, vom Kanal zu Fuß nach der Post und hat seine Rente abgeholt.								
3	00:33:56.00	INT_AKE	Hm								
3	00:34:01.12	IP_JA	Da kam er auch 'mal zu ...								
3	00:34:01.22	INT_AKE	(???), ne?								
3	00:34:03.00	IP_JA	Ich hab', ich könnte Ihnen die Fotos grade zeigen, aber das würde ja zu weit führen.								
3	00:34:03.22	IP_EHEMANN	(???)								
3	00:34:08.06	IP_JA	Aber vielleicht ist das auch 'n Ausdruck dessen, warum die Kinder so verschieden sind, das wird doch in manchen wird sich das wiederholen, was 'mal vorher gewesen ist, ne.								
3	00:34:15.07	INT_AKE	Hm								
3	00:34:18.08	IP_JA	Deshalb sag' ich auch so oft zu meinem Mann, weil unser Jüngster so furchtbar hart ist, ne.								
3	00:34:23.00	INT_AKE	Hm								
3	00:34:23.15	IP_JA	„Muss er doch von irgendwem haben", ne.								
3	00:34:25.15	INT_AKE	Hm								
3	00:34:27.05	IP_JA	Das gibt ’s doch sonst an und für sich gar nicht.								
3	00:34:29.02	IP_EHEMANN	Ja, mein Vater war ein, was die Ehe anbelangt, war er immer das Umge..., war 'n Waschlappen.								
3	00:34:30.14	IP_JA	Ja.								
3	00:34:33.13	IP_EHEMANN	Da hatte meine Mutter das Sagen.								
3	00:34:33.20	IP_JA	Ja.								
3	00:34:34.22	INT_AKE	Hm								
3	00:34:34.23	IP_JA	Ja, bei, bei uns war 's der Vater.								
3	00:34:35.18	IP_EHEMANN	Mein Vater kam aus Königsberg, meine Mutter war 'ne waschechte Rheinländerin.								
3	00:34:38.23	IP_JA	[lacht]								
3	00:34:39.10	INT_AKE	Ach so, und die hatte das ...								
3	00:34:40.11	IP_EHEMANN	Naja, und die passten also prima zusammen, wirklich.								
3	00:34:42.09	INT_AKE	Ah								
3	00:34:43.03	IP_EHEMANN	Harmonische Ehe, alles.								
3	00:34:44.02	IP_JA	Sehen Sie, das ist ja das Paar.								
3	00:34:44.12	INT_AKE	Hm.								
3	00:34:47.03	INT_AKE	Oh ja, (???)								
3	00:34:48.07	IP_JA	Mein Vater, also der ...								
3	00:34:50.23	IP_EHEMANN	(???) mein Vater (???)								
3	00:34:52.17	IP_JA	Ja, gucken Sie sich das an.								
3	00:34:53.22	INT_AKE	Durfte nichts sagen oder wie?								
3	00:34:55.08	IP_JA	Er ist ja auch Autodidakt, der hat sich ja alles selbst anerzogen und anerlernt, ne.								
3	00:34:59.08	INT_AKE	Hm								
3	00:35:00.11	IP_JA	Wie ich ja schon sagte, mit 16 Jahren da oben weg.								
3	00:35:03.01	IP_EHEMANN	Ja, und die Rentengeschichte, (???)								
3	00:35:04.02	IP_JA	Und der ...								
3	00:35:04.15	IP_JA	Rentengeschichte, der hat an Hindenburg noch geschrieben.								
3	00:35:08.00	INT_AKE	Hm								
3	00:35:08.02	IP_JA	Um Witwen, die durch Unfall der Männer, ne, ja jetzt mittellos geworden sind – damals war ja noch gar nicht die Rentenversicherung –, hat mein Vater geschrieben.								
3	00:35:11.20	INT_AKE	Hm.								
3	00:35:17.23	INT_AKE	Hm								
3	00:35:18.23	IP_JA	An Hindenburg sogar.								
3	00:35:19.18	IP_EHEMANN	Ja, ich wollt' da vorhin nicht eingreifen, als meine Frau sprach, wegen der Nazigeschichte, ne.								
3	00:35:23.18	INT_AKE	Hm								
3	00:35:24.00	IP_EHEMANN	Den Opa haben sie nie geholt.								
3	00:35:26.03	IP_EHEMANN	Ich persönlich bin der Meinung, dass sein Engagement für die Ärmsten der Armen mit dazu beigetragen hat, dass die Nazis seinerzeit gesagt haben:								
3	00:35:33.22	INT_AKE	Hm								
3	00:35:37.18	IP_EHEMANN	„Na also, so 'n doller Hund ist er ja wohl nicht“, nicht wahr.								
3	00:35:40.20	INT_AKE	Hm								
3	00:35:41.03	IP_EHEMANN	Der hat viel Gutes getan, da kam die Geschichte mit dem, mit dem Bein dazwischen, sonst ...								
3	00:35:41.04	IP_JA	Ja also, ich weiß es nicht.								
3	00:35:44.13	INT_AKE	Hm.								
3	00:35:45.10	IP_EHEMANN	Wenn beides nicht gewesen wär, dann hätte er genau wie alle andern auch in den Konzentrationslagern, wär der (???)								
3	00:35:50.18	INT_AKE	Also Ihr Vater ist nie verhaftet worden?								
3	00:35:52.08	IP_JA	Nein, nie.								
3	00:35:52.16	IP_EHEMANN	Nein nein, wurde nicht verhaftet.								
3	00:35:54.00	IP_JA	Nur eben durch diese unter... – unzumutbare Arbeit.								
3	00:35:58.04	INT_AKE	Die unzumutbare Arbeit (???)								
3	00:35:59.05	IP_EHEMANN	Damit hat man ihn bestraft (???)								
3	00:36:00.17	INT_AKE	Hm, ja								
3	00:36:01.14	IP_JA	Am ersten Mai 1933 bekam er von der Werksleitung das Buch „Mein Kampf“.								
3	00:36:09.19	INT_AKE	Na toll								
3	00:36:10.18	IP_JA	Und das weiß ich heute noch wie gestern, da hat mein Vater angefangen, mit mir schon zu politisieren.								
3	00:36:16.02	INT_AKE	Hm								
3	00:36:19.03	IP_JA	Und über das Buch, mit dem Buch fingen wir dann an, mir verständlich wollte er das machen, ne, wohin das jetzt führt mit dem Adolf Hitler.								
3	00:36:23.03	INT_AKE	Hm.								
3	00:36:30.03	INT_AKE	Hm.								
3	00:36:31.06	INT_AKE	Äh, können Sie das noch eben, das mit Ihrer Mutter, was hatte Ihre Mutter denn eigentlich zu sagen?								
3	00:36:36.24	INT_AKE	(???) irgendwie auf 'ne andere Weise?								
3	00:36:37.05	IP_JA	Ja, erstens 'mal, erstens 'mal war sie doch [kurze Pause] durch die Kinder, die kleinen Kinder, voll beschäftigt.								
3	00:36:46.08	INT_AKE	Hm								
3	00:36:46.09	IP_JA	Für die gab es ja eben nur Sorge, Haushalt und Schaffen und mit den Pfennigen, mit den Pfennigen auszukommen, die der Vater brachte.								
3	00:36:48.16	IP_EHEMANN	Und Haushalt.								
3	00:36:53.20	INT_AKE	Hm								
3	00:36:57.14	IP_JA	Und ich glaube, das war auch mit etwas, weil die viel jünger war als mein Vater, und mein Vater hatte das Geld.								
3	00:37:05.13	INT_AKE	Hm								
3	00:37:06.05	IP_JA	Da wurde eingeteilt bis zu seinem Tode. [laut]								
3	00:37:09.17	IP_JA	Bis zu seinem Tode kriegte die Mutter nur das Geld, was er meinte, womit sie auskommt.								
3	00:37:15.12	INT_AKE	Hm								
3	00:37:17.20	IP_JA	Wirklich.								
3	00:37:18.07	INT_AKE	Hm, ja ja, ich glaub' das.								
3	00:37:20.03	IP_JA	Nicht dass, dass, dass, dass er knauserig war, im Gegenteil, der hat Buch geführt über jeden Pfennig, der ein- und ausging.								
3	00:37:23.01	IP_EHEMANN	Gar nicht (???)								
3	00:37:24.12	INT_AKE	Hm								
3	00:37:27.13	IP_JA	Das muss wohl aus der ganzen Situation her so gekommen sein, weil mein Vater absolut keine Schulden haben wollte.								
3	00:37:36.21	INT_AKE	Hm								
3	00:37:37.23	IP_JA	Die Kreditschulden, die er ge... – machen musste, waren Schlafzimmer, also Möbelanschaffungen, und dann weiß ich, wenn, wenn wir 'n größeres Kleidungsstück wie 'nen Mantel zum Beispiel, der ja über den Wochenlohn ging, ne, dann ging er in ein Teilzahlungsgeschäft, und das war Höfling damals, und dann haben wir da gekauft, wenn 'was gab.								
3	00:37:43.00	INT_AKE	Hm.								
3	00:37:54.15	INT_AKE	Ja.								
3	00:37:59.00	INT_AKE	Hm.								
3	00:38:01.23	INT_AKE	Hm								
3	00:38:02.06	IP_JA	Und in den meisten Fällen hat mein Vater das so gemacht, der hatte ja seine bestimmten Geschäfte und Warenhäuser, die zum größten Teil auch jüdisch geleitet waren, ne, dann hat er da so 'n – wie nennt man das? –, so 'n Stoßkauf gemacht.								
3	00:38:13.05	INT_AKE	Hm								
3	00:38:20.00	IP_JA	Die hatten dann 'n Coupon, der reichte dann für 'n Mantel für die Mutter, für meine Schwester und mich.								
3	00:38:25.15	INT_AKE	Ach so, hm								
3	00:38:25.23	IP_JA	Dann gingen wir drei im gleichen Stoff, aber die Machart war anders.								
3	00:38:26.14	INT_AKE	Ja.								
3	00:38:29.00	INT_AKE	Hm.								
3	00:38:31.13	INT_AKE	Hm								
3	00:38:31.20	IP_JA	Auch das haben Sie ja mit dem Kleid hier gesehen.								
3	00:38:33.00	INT_AKE	(???) Schnitt, ja.								
3	00:38:34.21	IP_JA	[laut] Das war ...								
3	00:38:35.12	IP_JA	Und wissen Sie, woher das Bild stammt?								
3	00:38:38.17	IP_JA	Weil ich ja vorhin schon sagte, wir kauften bei Juden.								
3	00:38:40.24	INT_AKE	Hm								
3	00:38:41.15	IP_JA	Und um Weihnachten rum machten die Juden so besondere Angebote.								
3	00:38:45.22	IP_JA	Und in diesem Falle war das bei Mosbach auf der Bahnhofstraße, wenn man für den-und-den Betrag einkaufte, bekam man 'n Gutschein für den Fotografen.								
3	00:38:55.02	INT_AKE	Ach so, ah								
3	00:38:55.10	IP_JA	Und so sind wir zu dem Fotografen gegangen, und meine Mutter war zu der Zeit ziemlich korpulent und mochte sich da nicht drauf leiden und hat sich abgeschnitten.								
3	00:39:03.17	IP_JA	Darum sind wir beiden nur alleine auf 'm Foto, ne.								
3	00:39:05.00	INT_AKE	Ach so, ah [lacht]								
3	00:39:07.19	IP_JA	Also wie gesagt, dann hat mein Vater auf diese Sache zugespart, und dann musste das Geld ja zusammen gehalten werden, ne.								
3	00:39:12.12	INT_AKE	Hm								
3	00:39:16.02	IP_JA	Von wegen beim Kaufmann auf Heft und so, wie das ja war.								
3	00:39:19.11	INT_AKE	Und anschreiben beim – bei Lebensmitteln oder so (???)								
3	00:39:20.12	IP_JA	Nein.								
3	00:39:21.09	IP_JA	Und das war bei meiner Großmutter.								
3	00:39:22.12	IP_EHEMANN	Ja, um noch 'mal vorhin auf die Mutter zurückzukommen:								
3	00:39:24.14	IP_EHEMANN	Meine Frau hat ja schon erzählt, dass die um 12 Uhr mit dem Henkelmann zum Werk war.								
3	00:39:29.01	INT_AKE	Zum Werk ging, hm								
3	00:39:29.08	IP_JA	Ja.								
3	00:39:30.10	IP_EHEMANN	(???) zurück, die Kinder kamen aus der Schule, die waren dann ...								
3	00:39:30.15	IP_JA	Und wir kamen in die Schu..., und kamen aus der Schule.								
3	00:39:33.12	IP_JA	Ja.								
3	00:39:34.09	INT_AKE	Hm								
3	00:39:36.08	IP_EHEMANN	Der Opa kam nach abends um sechs wieder, dann musste der auch wieder versorgt werden.								
3	00:39:40.01	IP_EHEMANN	Dann kam die, die, die, die Waschgeschichten dazwischen, da fing die schon morgens um fünf Uhr ging die runter in die Waschküche, Klo eine Treppe tiefer.								
3	00:39:42.18	INT_AKE	Hm								
3	00:39:44.20	IP_JA	Der Kran war im Flur.								
3	00:39:46.10	INT_AKE	Hm.								
3	00:39:48.21	INT_AKE	Ja								
3	00:39:49.02	IP_JA	Toilette eine runter.								
3	00:39:49.05	IP_EHEMANN	(???) mit dem Waschen ausgesehen hat.								
3	00:39:51.10	IP_EHEMANN	Wissen Sie, wie, wie ‘s früher war?								
3	00:39:52.14	INT_AKE	Ja								
3	00:39:52.19	IP_EHEMANN	Von wegen hier Knopf drücken und läuft, ne.								
3	00:39:55.20	IP_EHEMANN	Da gab ’s, da gab 's noch nicht 'mal 'n, 'n, 'n Wassermotor.								
3	00:39:59.13	IP_EHEMANN	Hier, der Schwengel da dran, links (???)								
3	00:40:01.10	IP_JA	[laut] Jetzt stellen Sie sich 'mal vor, wie die Haare zusammen zurechtgekommen sind, da hatten wir nur 'n Waschständer in der Küche.								
3	00:40:07.18	INT_AKE	Hm								
3	00:40:08.03	IP_JA	So 'n auf, auf so 'ne Fuß stehend 'ne Waschschüssel.								
3	00:40:11.09	IP_EHEMANN	(???)								
3	00:40:12.02	INT_AKE	Ach so, so 'ne Waschschüssel, so 'was, hm								
3	00:40:13.02	IP_JA	Ja, und der Kessel wurde dann aufgestellt und 'n Eimer mit kaltem Wasser.								
3	00:40:15.08	INT_AKE	Hm								
3	00:40:16.21	IP_JA	Jetzt musste man ja die Schüssel ausleeren in Eimer und wieder neues Wasser und so lange, bis die Haare frisch waren, und ich hab' sogar noch, weil ich ja sehr bewusst war und immer gut aussehen wollte, ne –								
3	00:40:19.15	INT_AKE	Ja.								
3	00:40:29.02	INT_AKE	Hm								
3	00:40:29.10	IP_JA	ich hab' ehrlich 'n Kult getrieben mit meinen Haaren und mit allem, aber auf natürliche Art.								
3	00:40:31.24	INT_AKE	Hm								
3	00:40:33.18	IP_JA	Dann wurde 'mal Eigelb eingerieben, mit Zitrone nachgespült oder Kamille.								
3	00:40:37.22	IP_JA	Und jetzt stellen Sie sich das 'mal vor:								
3	00:40:39.07	IP_JA	In diesem Terrain.								
3	00:40:40.11	INT_AKE	In dem kleinen, kleinen Raum, ja								
3	00:40:42.14	IP_JA	Und wir waren vier, und die waren alle so.								
3	00:40:43.15	INT_AKE	Hm.								
3	00:40:45.02	INT_AKE	Hm								
3	00:40:45.16	IP_JA	Das, ich mein', das bezeugen ja auch die Fotos, ne.								
3	00:40:47.23	INT_AKE	Hm, ja, ja								
3	00:40:49.12	IP_JA	Das war schon 'ne Sache, und da musste man ja auch alles in Ordnung halten, ne.								
3	00:40:53.20	INT_AKE	Hm.								
